Date,MV_Event,Ship,Cruise ID,,,,,,,,,,,,,,,
20170901,386,Tioga,ti984,,,,,,,,,,,,,,,
20171017,387,Tioga,ti995,,,,,,,,,,,,,,,
20171115,388,Tioga,ti1001,,,,,,,,,,,,,,,
20171204,389,Tioga,ti1004,,,,,,,,,,,,,,,
20180122,390,Tioga,ti1006,,,,,,,,,,,,,,,
20180227,391,Tioga,ti1009,,,,,,,,,,,,,,,
20180324,392,Tioga,ti1011,,,,,,,,,,,,,,,
20180411,393,Tioga,ti1014,,,,,,,,,,,,,,,
20180523,394,Discovery,NA,,,,,,,,,,,,,,,
20180608,395,Discovery,NA,,,,,,,,,,,,,,,
20180621,396,Discovery,NA,,,,,,,,,,,,,,,
20180702,397,Discovery,NA,,,,,,,,,,,,,,,
20180810,398,RR,NA,,,,,,,,,,,,,,,
20180828,399,Discovery,NA,,,,,,,,,,,,,,,
20180905,400,Discovery,NA,,,,,,,,,,,,,,,
20180917,401,RR,NA,,,,,,,,,,,,,,,
20180920,402,RR,NA,,,,,,,,,,,,,,,
20181008,403,Tioga,ti1021,,,,,,,,,,,,,,,
20181031,404,RR,NA,,,,,,,,,,,,,,,
20181120,405,RR,NA,,,,,,,,,,,,,,,
20181205,406,Tioga,ti1030,,,,,,,,,,,,,,,
20181220,407,Hurricane,NA,,,,,,,,,,,,,,,
20190118,408,RichardEdwards,NA,,,,,,,,,,,,,,,
20190211,409,RichardEdwards,NA,,,,,,,,,,,,,,,
20190220,410,Discovery,NA,,,,,,,,,,,,,,,
20190309,411,Discovery,NA,,,,,,,,,,,,,,,
20190320,412,Discovery,NA,,,,,,,,,,,,,,,
20190402,413,Discovery,NA,,,,,,,,,,,,,,,
20190425,414,SeaHolly,NA,,,,,,,,,,,,,,,
20190501,415,new Ryan Marine boat,NA,,,,,,,,,,,,,,,
20190507,416,Tioga,ti1031,,,,,,,,,,,,,,,
20190610,417,Tioga,ti1040,,,,,,,,,,,,,,,
20190802,418,Tioga,ti1057,,,,,,,,,,,,,,,
20190916,419,Tioga,ti1067,,,,,,,,,,,,,,,
20191025,420,Tioga,ti1076,,,,,,,,,,,,,,,
20191114,421,Blackhawk,NA,,,,,,,,,,,,,,,
20191121,422,Tioga,ti1082,,,,,,,,,,,,,,,
20191213,423,Tioga,ti1084,,,,,,,,,,,,,,,
20200115,424,Tioga,ti1087,,,,,,,,,,,,,,,
20200225,425,Tioga,ti1092,,,,,,,,,,,,,,,
20200312,426,Tioga,ti1094,,,,,,,,,,,,,,,
20200528,427,Tioga,ti1103,,,,,,,,,,,,,,,
20200601,428,Tioga,ti1104,,,,,,,,,,,,,,,
20200629,429,Tioga,ti1108,,,,,,,,,,,,,,,
20200630,NA,Tioga,ti1109,,,,,,,,,,,,,,,
20200722,NA,Tioga,ti1113,,,,,,,,,,,,,,,
20200723,430,Tioga,ti1114,,,,,,,,,,,,,,,
20200729,NA,Tioga,ti1115,,,,,,,,,,,,,,,
20200812,431,Tioga,ti1116,,,,,,,,,,,,,,,
20200820,NA,Tioga,ti1118,,,,,,,,,,,,,,,
20200821,432,Tioga,ti1119,,,,,,,,,,,,,,,
20200908,NA,Tioga,ti1121,,,,,,,,,,,,,,,
20200924,433,Tioga,ti1125,,,,,,,,,,,,,,,
20201015,434,Tioga,ti1130,,,,,,,,,,,,,,,
20201021,NA,Tioga,ti1132,,,,,,,,,,,,,,,
20201119,435,Tioga,ti1136,,,,,,,,,,,,,,,
20201211,436,Tioga,ti1139,,,,,,,,,,,,,,,
20210406,437,Tioga,ti1153,,,,,,,,,,,,,,,
